root_path_id	root_name	component_class	enabled
14451	ShipyardEquip_unityclient	<Transform>	
14451	ShipyardEquip_unityclient	TransformNature	1
14451	ShipyardEquip_unityclient	TransformOffsetsRegistry	1
14451	ShipyardEquip_unityclient	TransformParentHierarchyBehaviour	0
14451	ShipyardEquip_unityclient	TransformChildHierarchyBehaviour	0
14451	ShipyardEquip_unityclient	LocalTransformUpdaterBehaviour	0
14451	ShipyardEquip_unityclient	LocalTransformTeleportBehaviour	0
14451	ShipyardEquip_unityclient	EquippableItemVisualiser	0
14452	ShipyardEquip_unityworker	<Transform>	
14452	ShipyardEquip_unityworker	TransformNature	1
14452	ShipyardEquip_unityworker	TransformOffsetsRegistry	1
14452	ShipyardEquip_unityworker	TransformParentHierarchyBehaviour	0
14452	ShipyardEquip_unityworker	TransformChildHierarchyBehaviour	0
14452	ShipyardEquip_unityworker	LocalTransformUpdaterBehaviour	0
14452	ShipyardEquip_unityworker	LocalTransformTeleportBehaviour	0
14452	ShipyardEquip_unityworker	ParentEntityBehaviour	0
14453	Shipyard_unityclient	<Transform>	
14453	Shipyard_unityclient	ShipBlueprintCraftingBehaviour	0
14453	Shipyard_unityclient	ShipyardVisualizer	0
14453	Shipyard_unityclient	CraftingStationBehaviour	0
14453	Shipyard_unityclient	SalvageableItemVisualiser	0
14453	Shipyard_unityclient	ShipHullEditorVisualizer	0
14453	Shipyard_unityclient	FixedUpdateTransformNature	1
14453	Shipyard_unityclient	Shipyard	1
14453	Shipyard_unityclient	ComponentMaterialColors	1
14453	Shipyard_unityclient	ComponentMaterialProperties	1
14453	Shipyard_unityclient	CraftedItemMaterialVisualizer	0
14453	Shipyard_unityclient	NormalizedItemHealthVisualizer	0
14453	Shipyard_unityclient	ComponentDamage	1
14453	Shipyard_unityclient	ScannableGUID	1
14453	Shipyard_unityclient	PlaceableItem	1
14453	Shipyard_unityclient	BuildingPlacementSpecialRule	0
14453	Shipyard_unityclient	TransformOffsetsRegistry	1
