

,,MATERIAL CLASS,WEIGHT,POWER FOR COMBUSTION,,,,,,,,,,POWER FOR PROPELLER
,Quality,,,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10
,Aluminum,m,0.26,0.0852680638623153,0.0946712531361082,0.104074442409901,0.113477631683694,0.122880820957487,0.13228401023128,0.141687199505073,0.151090388778866,0.160493578052658,0.169896767326451,0.103869465275214,0.109977431512576,0.116085397749939,0.122193363987302,0.128301330224664,0.134409296462027,0.14051726269939,0.146625228936752,0.152733195174115,0.158841161411477
,Bronze,m,0.42,0.140574979169231,0.153514631979487,0.166454284789744,0.1793939376,0.192333590410256,0.205273243220513,0.218212896030769,0.231152548841026,0.244092201651282,0.257031854461538,0.0702874916932401,0.0767573182924631,0.0832271448916861,0.0896969714909091,0.0961667980901321,0.102636624689355,0.109106451288578,0.115576277887801,0.122046104487024,0.128515931086247
,Copper,m,0.5,0.196379174973427,0.212131570596426,0.227883966219425,0.243636361842424,0.259388757465423,0.275141153088423,0.290893548711422,0.306645944334421,0.32239833995742,0.33815073558042,0.0858682238102851,0.0932885958293273,0.100708967848369,0.108129339867412,0.115549711886454,0.122970083905496,0.130390455924538,0.13781082794358,0.145231199962622,0.152651571981664
,Gold,m,0.69,0.181564360158612,0.193613052077907,0.205661743997203,0.217710435916498,0.229759127835794,0.241807819755089,0.253856511674385,0.26590520359368,0.277953895512976,0.290002587432271,0.140906502312251,0.15389277542792,0.16687904854359,0.179865321659259,0.192851594774929,0.205837867890598,0.218824141006268,0.231810414121937,0.244796687237607,0.257782960353276
,Iron,m,0.38,0.217079327180428,0.238154284564345,0.259229241948262,0.28030419933218,0.301379156716097,0.322454114100014,0.343529071483931,0.364604028867848,0.385678986251765,0.406753943635682,0.0275786328199976,0.0308291216793349,0.0340796105386722,0.0373300993980096,0.0405805882573469,0.0438310771166842,0.0470815659760216,0.0503320548353589,0.0535825436946962,0.0568330325540336
,Lead,m,0.6,0.06502453265988,0.070831956968045,0.0766393812762099,0.0824468055843748,0.0882542298925397,0.0940616542007046,0.0998690785088695,0.105676502817034,0.111483927125199,0.117291351433364,0.134580154890013,0.146953697255965,0.159327239621918,0.17170078198787,0.184074324353823,0.196447866719775,0.208821409085728,0.22119495145168,0.233568493817633,0.245942036183585
,Nickel,m,0.46,0.275268063862315,0.30157601504087,0.327883966219425,0.35419191739798,0.380499868576535,0.406807819755089,0.433115770933644,0.459423722112199,0.485731673290754,0.512039624469308,0.0660916874974359,0.0720409235760684,0.0779901596547009,0.0839393957333334,0.0898886318119658,0.0958378678905983,0.101787103969231,0.107736340047863,0.113685576126496,0.119634812205128
,Silver,m,0.55,0.129408094303716,0.139985451874965,0.150562809446213,0.161140167017462,0.171717524588711,0.18229488215996,0.192872239731209,0.203449597302458,0.214026954873707,0.224604312444955,0.103869465275214,0.113152034687179,0.122434604099145,0.131717173511111,0.140999742923077,0.150282312335043,0.159564881747009,0.168847451158974,0.17813002057094,0.187412589982906
,Steel,m,0.4,0.271003799598051,0.294038477503333,0.317073155408614,0.340107833313896,0.363142511219177,0.386177189124459,0.40921186702974,0.432246544935022,0.455281222840303,0.478315900745585,0.0397553511610995,0.0434072899424347,0.0470592287237699,0.0507111675051051,0.0543631062864403,0.0580150450677754,0.0616669838491106,0.0653189226304458,0.068970861411781,0.0726228001931162
,Tin,m,0.34,0.051934730528982,0.0565760150408702,0.0612172995527583,0.0658585840646464,0.0704998685765346,0.0751411530884227,0.0797824376003108,0.0844237221121989,0.0890650066240871,0.0937062911359752,0.103869465275214,0.11315203468718,0.122434604099145,0.131717173511111,0.140999742923077,0.150282312335043,0.159564881747009,0.168847451158974,0.17813002057094,0.187412589982906
